# #stocks, #noise, #price, #walk, #action
58762,2,0,2,sell
58764,6,-0.02,8,sell
58767,-3,-0.04,5,buy
58766,4,0.06000000000000001,9,sell
58768,3,-0.060000000000000005,12,sell
58771,3,-0.07,15,sell
58773,-2,-0.09,13,buy
58772,-5,-0.009999999999999997,8,buy
58770,9,0.07,17,sell
58772,-5,-0.06000000000000001,12,buy
58770,4,0.07,16,sell
58772,6,-0.04000000000000001,22,sell
58778,7,-0.09999999999999999,29,sell
58784,2,-0.11999999999999998,31,sell
58788,4,-0.12999999999999998,35,sell
58791,9,-0.16,44,sell
58796,-1,-0.20000000000000004,43,buy
58795,4,-0.11999999999999998,47,sell
58799,2,-0.21000000000000005,49,sell
58803,1,-0.24000000000000007,50,sell
58804,2,-0.25000000000000006,52,sell
58810,5,-0.2700000000000001,57,sell
58814,-3,-0.3000000000000001,54,buy
58813,-8,-0.21000000000000002,46,buy
58811,8,-0.13999999999999996,54,sell
58813,1,-0.2800000000000001,55,sell
58814,-3,-0.2900000000000001,52,buy
58813,-2,-0.21000000000000002,50,buy
58811,-6,-0.16999999999999998,44,buy
58807,-2,-0.08999999999999997,42,buy
58806,-4,-0.05999999999999998,38,buy
58804,-4,3.122502256758253e-17,34,buy
58802,-10,0.05000000000000004,24,buy
58799,5,0.11000000000000001,29,sell
58800,-4,-0.009999999999999976,25,buy
58799,9,0.12000000000000001,34,sell
58802,-2,-0.029999999999999978,32,buy
58801,1,0.05000000000000003,33,sell
58802,12,-0.029999999999999978,45,sell
58806,5,-0.11999999999999995,50,sell
58807,-1,-0.16999999999999998,49,buy
58806,-4,-0.06999999999999998,45,buy
58804,-1,3.122502256758253e-17,44,buy
58803,5,0.030000000000000034,49,sell
58805,5,-0.10999999999999996,54,sell
58807,1,-0.13999999999999996,55,sell
58808,4,-0.18,59,sell
58809,1,-0.22000000000000003,60,sell
58810,-2,-0.24000000000000005,58,buy
58809,5,-0.16999999999999998,63,sell
58811,-1,-0.26000000000000006,62,buy
58810,-6,-0.18,56,buy
58808,-6,-0.11999999999999995,50,buy
58806,3,-0.05999999999999998,53,sell
58807,5,-0.14999999999999997,58,sell
58809,5,-0.2,63,sell
58811,6,-0.26000000000000006,69,sell
58814,2,-0.2900000000000001,71,sell
58817,7,-0.3200000000000001,78,sell
58822,-8,-0.34000000000000014,70,buy
58819,4,-0.23000000000000004,74,sell
58820,-1,-0.3200000000000001,73,buy
58819,3,-0.23000000000000004,76,sell
58820,7,-0.3100000000000001,83,sell
58824,-6,-0.36000000000000015,77,buy
58822,-4,-0.24000000000000005,73,buy
58821,3,-0.2,76,sell
58822,-11,-0.3100000000000001,65,buy
58819,-4,-0.15999999999999998,61,buy
58817,-4,-0.09999999999999996,57,buy
58815,2,-0.07999999999999997,59,sell
58817,1,-0.19,60,sell
58818,3,-0.24000000000000005,63,sell
58821,-7,-0.2700000000000001,56,buy
58819,-1,-0.14999999999999997,55,buy
58818,4,-0.11999999999999995,59,sell
58819,-2,-0.22000000000000003,57,buy
58817,-1,-0.10999999999999996,56,buy
58815,5,-0.08999999999999997,61,sell
58817,1,-0.2,62,sell
58818,-1,-0.24000000000000005,61,buy
58817,9,-0.18,70,sell
58821,4,-0.2700000000000001,74,sell
58822,-1,-0.3200000000000001,73,buy
58821,11,-0.23000000000000004,84,sell
58824,3,-0.35000000000000014,87,sell
58827,-2,-0.3900000000000002,85,buy
58826,-6,-0.2700000000000001,79,buy
58824,-2,-0.21000000000000002,77,buy
58822,5,-0.16999999999999998,82,sell
